,competition,game,team,role,player,rater,is_human,rate,goals,assists,shots_ontarget,shots_offtarget,shots_blocked,chances_to_score,drib_success,drib_unsuccess,key_passes,touches,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,grduels_w,grduels_l,aerials_w,aerials_l,poss_lost,fouls,was_fouled,clearances,stop_shots,interceptions,tackles,dribbled_past,tballs_acc,tballs_inacc,yellow_cards,red_cards,dang_mistakes,countattack,offsides,missed_penalties,own_goals,degree_centrality,betweenness_centrality,closeness_centrality,flow_centrality,flow_success,betweenness_to_goals,win,lost,is_home_team,mins,game_duration
303,euro_2016,"Turkey - Croatia, 0 - 1",Croatia,DMC,Luka Modric,TheGuardian,1,9.0,1,0,1,0,0,0,1,1,1,69,49,6,1,0,7,2,6,4,0,0,9,1,1,2,0,6,2,0,0,0,0,0,1,0,0,0,0,1.5,0.197887473,0.694444444,0.546875,1.255953098,0.0,1,0,0,90,90
304,euro_2016,"Turkey - Croatia, 0 - 1",Croatia,DMC,Luka Modric,Kicker,1,2.0,1,0,1,0,0,0,1,1,1,69,49,6,1,0,7,2,6,4,0,0,9,1,1,2,0,6,2,0,0,0,0,0,1,0,0,0,0,1.5,0.197887473,0.694444444,0.546875,1.255953098,0.0,1,0,0,90,90
305,euro_2016,"Turkey - Croatia, 0 - 1",Turkey,DC,Mehmet Topal,Kicker,1,4.0,0,0,0,0,0,0,0,0,0,48,33,1,0,0,4,0,0,2,4,3,8,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1.357142857,0.219390681,0.670634921,0.367647059,0.0,0.0,0,1,0,90,90
306,euro_2016,"Turkey - Croatia, 0 - 1",Turkey,DC,Mehmet Topal,SofaScore,0,6.7,0,0,0,0,0,0,0,0,0,48,33,1,0,0,4,0,0,2,4,3,8,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1.357142857,0.219390681,0.670634921,0.367647059,0.0,0.0,0,1,0,90,90
307,euro_2016,"Turkey - Croatia, 0 - 1",Turkey,DC,Mehmet Topal,TheGuardian,1,6.0,0,0,0,0,0,0,0,0,0,48,33,1,0,0,4,0,0,2,4,3,8,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1.357142857,0.219390681,0.670634921,0.367647059,0.0,0.0,0,1,0,90,90
308,euro_2016,"Turkey - Croatia, 0 - 1",Turkey,DC,Mehmet Topal,WhoScored,0,6.48,0,0,0,0,0,0,0,0,0,48,33,1,0,0,4,0,0,2,4,3,8,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1.357142857,0.219390681,0.670634921,0.367647059,0.0,0.0,0,1,0,90,90
309,euro_2016,"Poland - Northern Ireland, 1 - 0",Poland,DC,Kamil Glik,WhoScored,0,7.76,0,0,0,0,0,0,0,0,0,52,35,4,0,0,6,4,4,1,8,1,5,1,1,1,0,1,2,0,1,1,0,0,0,0,0,0,0,1.076923077,0.108242894,0.615384615,0.256756757,1.896580182,0.0,1,0,0,90,90
310,euro_2016,"Poland - Northern Ireland, 1 - 0",Poland,DC,Kamil Glik,SofaScore,0,7.6,0,0,0,0,0,0,0,0,0,52,35,4,0,0,6,4,4,1,8,1,5,1,1,1,0,1,2,0,1,1,0,0,0,0,0,0,0,1.076923077,0.108242894,0.615384615,0.256756757,1.896580182,0.0,1,0,0,90,90
311,euro_2016,"Poland - Northern Ireland, 1 - 0",Poland,DC,Kamil Glik,Kicker,1,3.5,0,0,0,0,0,0,0,0,0,52,35,4,0,0,6,4,4,1,8,1,5,1,1,1,0,1,2,0,1,1,0,0,0,0,0,0,0,1.076923077,0.108242894,0.615384615,0.256756757,1.896580182,0.0,1,0,0,90,90
312,euro_2016,"Poland - Northern Ireland, 1 - 0",Poland,DR,Lukasz Piszczek,WhoScored,0,6.92,0,0,0,1,1,0,1,0,1,103,62,7,3,5,3,1,3,1,2,0,17,2,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,1.307692308,0.179921636,0.65158371,0.540540541,1.898386295,0.0,1,0,0,90,90
